timestamp,name,gender,age,συμπαθές,δημιουργικό,ήρεμο/συναισθηματικά ισορροπημένο,εξωστρεφές,συνοχή,εγωκεντρικό / νάρκισσος,ευέξαπτο,αξιόπιστο / σωστός επαγγελματίας,εμπιστευόμουν για θέματα fitness,εμπιστευόμουν για τομέα διαφορετικό,follow,reasons,category
2021/05/02 9:55:35 μ.μ. GMT+3,fitmencook,Άντρας,24,4,4,3,4,2,1,2,4,5,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,nutrition
2021/05/02 9:56:57 μ.μ. GMT+3,thebodycoach,Άντρας,24,3,2,2,1,4,2,1,3,3,1,Όχι,Δεν θα το ακολουθούσα,nutrition
2021/05/02 9:57:53 μ.μ. GMT+3,valentinalequeux,Άντρας,24,3,4,4,4,2,3,2,4,4,4,Ναι,έχει ωραίο σώμα;έχει ωραίο lifestyle,body_building
2021/05/02 10:01:43 μ.μ. GMT+3,theiobot,Άντρας,24,3,2,5,5,5,2,4,3,4,1,Ναι,αναρτά ενδιαφέρον περιεχόμενο,fitness_model
2021/05/02 10:03:02 μ.μ. GMT+3,brittnebabe,Άντρας,24,2,1,2,4,2,5,4,2,1,1,Όχι,Δεν θα ακολουθούσα,body_building
2021/05/02 10:04:21 μ.μ. GMT+3,lisafiitt,Άντρας,25,5,4,4,2,1,2,1,5,4,4,Ναι,θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,body_building
2021/05/02 11:05:55 μ.μ. GMT+3,cassamartin,Γυναίκα,20,1,2,1,3,1,5,3,2,1,1,Όχι,τίποτα από τα παραπάνω φαίνεται ψεύτικη ,
2021/05/02 11:07:47 μ.μ. GMT+3,kaisafit ,Γυναίκα,20,5,4,4,4,1,2,2,5,4,1,Ναι,όλα τα παραπάνω ,body_building
2021/05/02 11:10:00 μ.μ. GMT+3,hannahoeberg ,Γυναίκα,20,3,4,3,5,1,4,3,2,2,1,Όχι,δεν βρίσκω κάποιο λόγο να το κάνω ποτέ ,
2021/05/03 12:12:22 π.μ. GMT+3,ellena_fit,Άντρας,25,4,3,4,5,3,3,1,3,3,3,Όχι,έχει ωραίο σώμα;έχει ωραίο lifestyle,nutrition
